image,slice,bjd_tdb,hours_since_first_image,raw_relative_brightness_10_comparisons,raw_relative_brightness_error,working_relative_brightness_7_comparisons,adopted_relative_brightness,condition_model_baseline,review_point,review_reason,condition_model_fit_eligible,used_in_primary_curve,primary_exclusion_reason,airmass,sky_counts_per_pixel,target_width_pixels,target_x_fits,target_y_fits,comparison_counts,meridian_side
TOI_3505.01_50.000s_R-0075_aligned.fits,75,2459782.6541513731,1.3419974931,1.0004143659,0.0014821119,0.9990181028,1.0003658035,1.0000485446,False,,True,True,,1.1230140161,388.6595155338,19.9006239067,1847.1540733516,1745.4017955237,8669390.9960925877,0.0000000000
TOI_3505.01_50.000s_R-0076_aligned.fits,76,2459782.6549045029,1.3600726090,0.9998326150,0.0014597969,0.9997449562,0.9997840809,1.0000485446,False,,True,True,,1.1214521373,385.6294312111,19.1058070348,1846.4252643650,1744.7646554606,8827460.5248593539,0.0000000000
TOI_3505.01_50.000s_R-0077_aligned.fits,77,2459782.6556575838,1.3781465515,0.9980533513,0.0014758891,0.9969631412,0.9980049035,1.0000485446,False,,True,True,,1.1199141837,385.2005511344,20.7303093724,1858.0469312639,1742.9509300955,8686377.2378253695,0.0000000000
TOI_3505.01_50.000s_R-0078_aligned.fits,78,2459782.6564107756,1.3962231539,1.0019812337,0.0014859668,1.0015279871,1.0019325953,1.0000485446,False,,True,True,,1.1183996888,386.9579594760,20.7402172140,1851.3127035618,1743.4965437823,8634126.1916186418,0.0000000000
TOI_3505.01_50.000s_R-0079_aligned.fits,79,2459782.6571634738,1.4142879099,1.0015534778,0.0014918761,1.0008051271,1.0015048602,1.0000485446,False,,True,True,,1.1169097090,389.5906714127,19.7770569579,1848.6002197190,1744.8830392170,8603252.8320743442,0.0000000000
TOI_3505.01_50.000s_R-0080_aligned.fits,80,2459782.6579167228,1.4323658869,0.9997369596,0.0014825644,0.9992036321,0.9996884302,1.0000485446,False,,True,True,,1.1154420420,386.4182329923,19.8239355656,1845.2892839880,1744.7475164593,8646603.4898639284,0.0000000000
TOI_3505.01_50.000s_R-0081_aligned.fits,81,2459782.6586697218,1.4504378624,1.0025406908,0.0014833890,1.0023704952,1.0024920252,1.0000485446,False,,True,True,,1.1139981249,384.4703772980,19.8859546237,1849.1239969150,1744.0508733313,8638106.9042629059,0.0000000000
TOI_3505.01_50.000s_R-0082_aligned.fits,82,2459782.6594229331,1.4685149342,1.0010764624,0.0015108381,0.9991785400,1.0010278679,1.0000485446,False,,True,True,,1.1125769370,389.6822083795,19.9286907068,1847.7493422224,1744.3407568061,8457098.5801179968,0.0000000000
TOI_3505.01_50.000s_R-0083_aligned.fits,83,2459782.6601752411,1.4865703247,0.9992251592,0.0015599801,0.9985659634,0.9991766546,1.0000485446,False,,True,True,,1.1111804211,404.0380686452,19.6407227894,1849.2311048296,1742.8828370545,8185208.8069402920,0.0000000000
TOI_3505.01_50.000s_R-0084_aligned.fits,84,2459782.6609284044,1.5046462454,0.9950496657,0.0015939105,0.9934775873,0.9950013638,1.0000485446,False,,True,True,,1.1098051820,405.5344478374,20.1462792199,1846.6287832112,1744.0618439383,7947695.3752229158,0.0000000000
TOI_3505.01_50.000s_R-0085_aligned.fits,85,2459782.6616811780,1.5227128118,1.0003736919,0.0015232502,0.9990953767,1.0003251315,1.0000485446,False,,True,True,,1.1084533889,390.2834153545,20.9687377061,1847.3618212634,1743.4543780787,8364825.2359315520,0.0000000000
TOI_3505.01_50.000s_R-0086_aligned.fits,86,2459782.6624343651,1.5407893024,1.0012791775,0.0014755360,1.0002321521,1.0012305732,1.0000485446,False,,True,True,,1.1071234770,378.8180764215,19.5800121044,1850.1439203561,1743.6097486324,8657351.2166520506,0.0000000000
TOI_3505.01_50.000s_R-0087_aligned.fits,87,2459782.6631872556,1.5588586740,1.0023595990,0.0014904123,1.0021889436,1.0023109423,1.0000485446,False,,True,True,,1.1058165844,382.1339634089,19.3673213697,1846.2854512264,1744.4245604179,8565793.8362514488,0.0000000000
TOI_3505.01_50.000s_R-0088_aligned.fits,88,2459782.6639406304,1.5769396685,0.9993845582,0.0015177324,0.9998963553,0.9993360459,1.0000485446,False,,True,True,,1.1045312454,390.8253221552,19.0669360270,1846.8087644435,1744.5857781991,8405313.4563858267,0.0000000000
TOI_3505.01_50.000s_R-0089_aligned.fits,89,2459782.6646927330,1.5949901305,0.9973207519,0.0015147680,0.9959922181,0.9972723397,1.0000485446,False,,True,True,,1.1032703054,390.4002795426,18.8397671540,1855.5708640734,1743.5483516397,8417039.2816435527,0.0000000000
TOI_3505.01_50.000s_R-0090_aligned.fits,90,2459782.6654457957,1.6130636372,0.9964814722,0.0015241916,0.9957108842,0.9964331008,1.0000485446,False,,True,True,,1.1020298940,393.8506598571,19.0311464916,1846.3097028135,1744.3136546222,8366451.6595832603,0.0000000000
TOI_3505.01_50.000s_R-0091_aligned.fits,91,2459782.6661983095,1.6311239675,0.9989487623,0.0015603764,0.9976120539,0.9989002710,1.0000485446,False,,True,True,,1.1008124036,402.4295704452,19.4563916927,1847.9332561419,1743.7587349666,8170604.0938397497,0.0000000000
TOI_3505.01_50.000s_R-0092_aligned.fits,92,2459782.6669506375,1.6491798386,0.9991395914,0.0016527848,0.9999901220,0.9990910909,1.0000485446,False,,True,True,,1.0996171052,425.9292006811,18.9561427401,1849.7667206560,1743.6762589396,7710332.8961089626,0.0000000000
TOI_3505.01_50.000s_R-0093_aligned.fits,93,2459782.6677036607,1.6672523953,1.0009811583,0.0017006888,1.0003225270,1.0009325685,1.0000485446,False,,True,True,,1.0984425133,435.4717783406,19.4865740824,1856.6379790854,1743.3835031231,7489923.3422008269,0.0000000000
