measured_star,separation_from_measured_position_arcsec,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star
C7,9.7367762739,1824575744575247232,296.8906722119,18.8246983829,20.3638343811,20.7829284668,19.2145843506,1.5683441162,0.9973974228,1.2067930142,0.8441835046,-4.3533070499,-7.2185392037,NOT_AVAILABLE,0
C7,10.1989298273,1824575705907052416,296.8849197010,18.8255800221,18.1339988708,18.4821186066,17.4281768799,1.0539417267,0.9484572411,0.2039525047,0.1357643753,-1.1558564313,-1.4239228304,NOT_AVAILABLE,0
C7,10.4480395160,1824575710215537920,296.8855279600,18.8229595488,20.3721332550,,,,,,,,,NOT_AVAILABLE,0
C7,10.9764209006,1824575744575247360,296.8910167817,18.8244983875,20.2698955536,20.3849334717,19.0655536652,1.3193798065,1.0539414883,-0.6819937629,0.7343205214,-1.4569757040,-4.8783054580,NOT_AVAILABLE,0
C7,11.1636754909,1824575710217338624,296.8858248788,18.8224271079,20.8591232300,,,,,,,,,NOT_AVAILABLE,0
C7,11.4379135384,1824575740287506688,296.8906461772,18.8266023555,18.4622478485,18.8654842377,17.6117038727,1.2537803650,2.8675253391,2.3428994204,0.5108024478,-2.9282732243,-0.9987448141,NOT_AVAILABLE,0
C7,11.5097585602,1824575710215538176,296.8853294391,18.8227275195,19.6581172943,19.4659900665,18.0503921509,1.4155979156,1.1093064547,1.3727998369,0.8005716801,-2.8635195721,-8.0913687998,NOT_AVAILABLE,0
C8,0.6901154997,1824558324222755200,297.1716553521,18.6344305242,11.1322011948,11.8717784882,10.2992410660,1.5725374222,1.0196050406,0.4233639510,0.0191941503,-1.4518987917,-3.6648650124,NOT_AVAILABLE,0
C8,2.6248309834,1824558324181263360,297.1725115158,18.6340158510,19.2902622223,,,,1.0385738611,0.5021230501,0.6168613434,-1.9817678977,-6.2654663103,NOT_AVAILABLE,0
C8,3.3389218288,1824558392900741376,297.1710303957,18.6338937167,20.4224090576,17.1503963470,15.4894266129,1.6609697342,,,,,,NOT_AVAILABLE,0
C8,3.5017603619,1824558324181263616,297.1725658648,18.6336938090,18.7194557190,17.9155616760,16.6026649475,1.3128967285,1.0856420994,-0.1874185081,0.3252535164,-3.2822462376,-5.7173671944,NOT_AVAILABLE,0
